Datei ID&Ordnung&$\mu / \unit{\meter}$&$\sigma$&$A$&$I / \unit{\ampere}$&$B / \unit{	esla}\\
\hline05 X&7&-0.0062454(10)&3.47(19)e-05&1745(76)&-5.23&-0.4375(17)\\
13 X&3&-0.0038650(45)&2.64(61)e-05&1.45(20)e+03&-3.5&-0.3102(12)\\
13 X&2&-0.0033926(18)&4.95(17)e-05&1976(29)&-3.5&-0.3102(12)\\
13 X&2&-0.00325376(77)&5.02(13)e-05&3107(24)&-3.5&-0.3102(12)\\
13 X&2&-0.0031077(14)&5.27(14)e-05&2281(27)&-3.5&-0.3102(12)\\
13 X&1&-0.0024749(17)&6.23(16)e-05&1974(24)&-3.5&-0.3102(12)\\
13 X&1&-0.00227531(82)&7.45(14)e-05&3224(21)&-3.5&-0.3102(12)\\
13 X&1&-0.0020563(15)&7.54(16)e-05&2341(22)&-3.5&-0.3102(12)\\
13 X&1&0.0020304(62)&5.22(79)e-05&1.62(13)e+03&-3.5&-0.3102(12)\\
13 X&1&0.0022833(75)&0.000166(11)&2858(96)&-3.5&-0.3102(12)\\
13 X&2&0.0030915(45)&3.06(61)e-05&1.51(17)e+03&-3.5&-0.3102(12)\\
13 X&2&0.0032612(57)&0.000121(10)&2.84(14)e+03&-3.5&-0.3102(12)\\
13 X&3&0.0038656(49)&2.62(70)e-05&1.25(19)e+03&-3.5&-0.3102(12)\\
13 X&3&0.0040048(52)&0.000105(10)&2.76(18)e+03&-3.5&-0.3102(12)\\
13 X&4&0.0045143(40)&2.10(59)e-05&1.04(22)e+03&-3.5&-0.3102(12)\\
13 X&4&0.0046287(41)&0.000100(11)&2.64(24)e+03&-3.5&-0.3102(12)\\
13 X&5&0.0051738(27)&1.64(35)e-05&-1.0(1.3)e+03&-3.5&-0.3102(12)\\
13 X&5&0.0051724(15)&0.000170(40)&2.4(1.9)e+03&-3.5&-0.3102(12)\\
13 X&6&0.0056696(17)&9.51(71)e-05&2.57(23)e+03&-3.5&-0.3102(12)\\
13 Y&2&-0.0033853(11)&4.74(12)e-05&1999(23)&-3.5&-0.3102(12)\\
13 Y&2&-0.00324492(61)&5.039(99)e-05&3022(19)&-3.5&-0.3102(12)\\
13 Y&2&-0.0030958(12)&5.87(12)e-05&2336(22)&-3.5&-0.3102(12)\\
13 Y&1&-0.0024606(12)&6.49(12)e-05&2150(18)&-3.5&-0.3102(12)\\
13 Y&1&-0.00226230(63)&7.30(11)e-05&3316(15)&-3.5&-0.3102(12)\\
13 Y&1&-0.0020460(12)&8.10(13)e-05&2417(17)&-3.5&-0.3102(12)\\
13 Y&1&0.0020752(19)&8.73(20)e-05&2427(23)&-3.5&-0.3102(12)\\
13 Y&1&0.00228991(95)&7.31(15)e-05&3197(20)&-3.5&-0.3102(12)\\
13 Y&1&0.0024855(18)&6.48(17)e-05&1994(25)&-3.5&-0.3102(12)\\
13 Y&2&0.0031381(19)&7.91(22)e-05&2245(29)&-3.5&-0.3102(12)\\
13 Y&2&0.00327267(75)&4.18(10)e-05&2493(49)&-3.5&-0.3102(12)\\
13 Y&2&0.0033984(15)&5.55(18)e-05&1912(28)&-3.5&-0.3102(12)\\
14 X&7&-0.0061175(17)&0.0(1.7)&0.0(3.6)e+09&-3.9&-0.3419(13)\\
14 X&7&-0.0061232(24)&1.52(27)e-05&-0.0(2.6)e+09&-3.9&-0.3419(13)\\
14 X&6&-0.0057603(16)&3.24(17)e-05&1876(51)&-3.9&-0.3419(13)\\
14 X&6&-0.00566913(65)&3.48(14)e-05&2954(37)&-3.9&-0.3419(13)\\
14 X&6&-0.0055769(13)&3.28(14)e-05&2134(50)&-3.9&-0.3419(13)\\
14 X&5&-0.0052725(15)&3.37(15)e-05&1954(39)&-3.9&-0.3419(13)\\
14 X&5&-0.00517284(66)&3.59(12)e-05&3104(34)&-3.9&-0.3419(13)\\
14 X&5&-0.0050719(11)&3.34(12)e-05&2294(37)&-3.9&-0.3419(13)\\
14 X&4&-0.0047340(13)&3.81(14)e-05&1986(36)&-3.9&-0.3419(13)\\
14 X&4&-0.00462360(55)&3.884(96)e-05&3159(33)&-3.9&-0.3419(13)\\
14 X&4&-0.00451128(85)&3.70(10)e-05&2353(35)&-3.9&-0.3419(13)\\
14 X&3&-0.0041262(14)&4.23(15)e-05&2060(34)&-3.9&-0.3419(13)\\
14 X&3&-0.00399838(65)&4.51(11)e-05&3246(32)&-3.9&-0.3419(13)\\
14 X&3&-0.00386589(93)&4.09(11)e-05&2382(33)&-3.9&-0.3419(13)\\
14 X&2&-0.0034112(13)&4.95(15)e-05&2096(29)&-3.9&-0.3419(13)\\
14 X&2&-0.00325406(63)&5.38(10)e-05&3373(28)&-3.9&-0.3419(13)\\
14 X&2&-0.0030911(11)&5.37(13)e-05&2438(28)&-3.9&-0.3419(13)\\
14 X&1&-0.0024946(15)&6.53(17)e-05&2172(27)&-3.9&-0.3419(13)\\
